job_id,job_title,company,location,job_description,experience,education,salary,job_type
JOB00001,Machine Learning Engineer,TechNova Solutions,Navi Mumbai,"We are looking for a Machine Learning Engineer to join our team at TechNova Solutions in Navi Mumbai. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include Python, Machine Learning, TensorFlow, Scikit-learn, Docker. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 2-3 years of relevant experience.",2-3 years,Master's Degree,4-6 LPA,Full-time
JOB00002,Product Analyst,,Kolkata,"We are looking for a Product Analyst to join our team at CloudPeak Systems in Kolkata. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include SQL, Python, Excel, A/B Testing, Product Analytics. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 3-5 years of relevant experience.",3-5 years,Bachelor's Degree,3-5 LPA,Part-time
JOB00003,Web Developer,Genpact,Kolkata,"We are looking for a Web Developer to join our team at Genpact in Kolkata. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include HTML, CSS, JavaScript, React, Git. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 0-1 years of relevant experience.",0-1 years,MCA,10-15 LPA,Internship
JOB00004,Web Developer,IBM,Kolkata,"We are looking for a Web Developer to join our team at IBM in Kolkata. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include HTML, CSS, JavaScript, React, Git. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 2-3 years of relevant experience.",2-3 years,Bachelor's Degree,10-15 LPA,Internship
JOB00005,Database Administrator,Capgemini,Bengaluru,"We are looking for a Database Administrator to join our team at Capgemini in Bengaluru. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include SQL, MySQL, PostgreSQL, Oracle, Database Administration. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 1-2 years of relevant experience.",1-2 years,B.Tech,3-5 LPA,Internship
JOB00006,Machine Learning Engineer,Tech Mahindra,Jaipur,"Tech Mahindra is hiring a Machine Learning Engineer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with Python, Machine Learning, TensorFlow, Scikit-learn, Docker. Strong analytical thinking, communication and attention to detail are required. This position is based in Jaipur and requires 2-3 years of experience.",2-3 years,MCA,3-5 LPA,Internship
JOB00007,Product Analyst,Infosys,Nagpur,"Infosys is hiring a Product Analyst. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with SQL, Python, Excel, A/B Testing, Product Analytics. Strong analytical thinking, communication and attention to detail are required. This position is based in Nagpur and requires 3-5 years of experience.",3-5 years,Bachelor's Degree,10-15 LPA,Contract
JOB00008,QA Engineer,Accenture,Navi Mumbai,"We are looking for a QA Engineer to join our team at Accenture in Navi Mumbai. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include Selenium, Python, Java, SQL, Automation Testing. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 0-1 years of relevant experience.",0-1 years,Bachelor's Degree,5-8 LPA,Full-time
JOB00009,Web Developer,Infosys,Noida,"Infosys is hiring a Web Developer. The role involves working with cross-functional teams, analyzing requirements, preparing reports and improving business processes. Candidates should have hands-on experience with HTML, CSS, JavaScript, React, Git. Strong analytical thinking, communication and attention to detail are required. This position is based in Noida and requires 2-3 years of experience.",2-3 years,BCA,4-6 LPA,Contract
JOB00010,BI Analyst,Accenture,Thane,"We are looking for a BI Analyst to join our team at Accenture in Thane. The candidate will analyze business data, build reports, collaborate with stakeholders, and develop scalable solutions. Required skills include SQL, Power BI, Excel, DAX, Data Visualization. Experience with data quality, documentation, problem solving and communication is preferred. The role requires 2-3 years of relevant experience.",2-3 years,MBA,8-12 LPA,Part-time
